subject_id,timestamp,response_time,block_num,question_type,question_text,response_numbers,response_strings,response_value,response_string,is_correct
F104,1613500565.029805,6.828289180000866,0,affect,How sad vs. happy are you at this moment?,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.4990234375,Extremely Happy,-1
F104,1613500579.34389,6.152682354000717,0,reading_causalclaims_page_1,College students who have examinations the subsequent day might pull an 'all-nighter' in which they sacrifice sleep for one complete night of exam preparation.,[],[],-1,None,-1
F104,1613500586.033838,6.68977910600006,0,reading_causalclaims_page_2,A study measured the sleep habits of 111 students to see if there was a correlation between getting regular sleep and student grades.,[],[],-1,None,-1
F104,1613500590.3087559,4.274787394000668,0,reading_causalclaims_page_3,Those who skipped a night of sleep to study for a test were found to achieve lower grades than those who did not stay up.,[],[],-1,None,-1
F104,1613500595.87891,5.570024451999416,0,reading_causalclaims_page_4,"It may seem that the conclusion from this study is that 'pulling an all-nighter' will cause students to attain low grades, however that constitutes a common scientific mistake.
",[],[],-1,None,-1
F104,1613500599.546808,3.6677636870008428,0,reading_causalclaims_page_5,The mistake was to erroneously interpret the results as demonstrating cause and effect.,[],[],-1,None,-1
F104,1613500607.352093,7.805143155999758,0,reading_causalclaims_page_6,"Unfortunately for the prospects of testing causal claims about sleep deprivation and exam performance, the original study used a quasi-experimental design, where no experimental manipulation was performed.",[],[],-1,None,-1
F104,1613500617.316329,9.96407739499955,0,reading_causalclaims_page_7,The finding indicates that getting less sleep is correlated with getting lower grades yet does not support the claim that getting less sleep causes lower grades.,[],[],-1,None,-1
F104,1613500624.857992,7.5414992480000365,0,reading_causalclaims_page_8,"Correlations can only lead to conclusions about the strength of relationships between variables: we cannot use correlation alone to infer the direction of influence between the variables.
",[],[],-1,None,-1
F104,1613500637.3338969,12.475741645999733,0,reading_causalclaims_page_9,"When participants are not assigned at random to different groups we cannot know, when there is a relationship between variables, whether variable A influenced variable B or vice versa; or even if variable C influenced both variables A and B.",[],[],-1,None,-1
F104,1613500643.189022,5.8549850349991175,0,reading_causalclaims_page_10,"Maybe students who already tend to achieve lower grades worry more about their exams, and excessive worrying interferes with them getting enough sleep the night before their exam.",[],[],-1,None,-1
F104,1613500648.5722408,5.383082241000011,0,reading_causalclaims_page_11,Maybe there is an additional variable that we have not accounted for that is causing both poorer grades and diminished sleep.,[],[],-1,None,-1
F104,1613500654.194964,5.62257571200098,0,reading_causalclaims_page_12,"It is plausible that students who party have less time to study and sleep so they achieve lower grades and are also sleep-deprived.
",[],[],-1,None,-1
F104,1613500659.827976,5.632840393998777,0,reading_causalclaims_page_13,"When we design investigations that compare existing groups of people, such as the previous example about students pulling an all-nighter, this is called a quasi-experimental design.",[],[],-1,None,-1
F104,1613500668.315157,8.487032839999301,0,reading_causalclaims_page_14,"This resembles an experiment because participants are separated into distinct groups and compared, however the subjects are selected based on pre-existing values of a variable.",[],[],-1,None,-1
F104,1613500672.284966,3.969678997000301,0,reading_causalclaims_page_15,Quasi-experiments are technically a subtype of correlational experimental design.,[],[],-1,None,-1
F104,1613500684.78317,12.498025142000188,0,reading_causalclaims_page_16,"In a correlational design, a whole population of individuals are studied, and the values of two (or more) variables associated with each subject in the population are measured and the correlation between them computed at the population level.
",[],[],-1,None,-1
F104,1613500693.086265,6.258976652001365,0,mind_wandering,How much were you 'zoning out' while reading the text?,"[1, 2]","['Not at all', 'Most']",0.3046875,Most,-1
F104,1613500705.765316,12.617710886001078,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['Whether poor sleep caused poor exam grades or vice versa', 'The correlation between hours slept and amount smoked', 'Whether medical marijuana interferes with sleep', 'The correlation between hours of sleep and student grades']",4,The correlation between hours of sleep and student grades,1
F104,1613500718.018274,12.212126252999951,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['Too much partying', 'Being on sports teams', 'Taking too many classes', 'Achieving poor grades in the past']",4,Achieving poor grades in the past,0
F104,1613500735.814357,17.748902735998854,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['That sleep is required for learning', 'That losing a night of sleep leads to lower college grades', 'That not getting enough sleep is unhealthy', 'That worse attainment is correlated with poor sleep']",2,That losing a night of sleep leads to lower college grades,0
F104,1613500782.160625,5.172777613001017,1,affect,How sad vs. happy are you at this moment?,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.5048828125,Extremely Happy,-1
F104,1613500950.7110798,6.668735653998738,0,affect,How sad vs. happy are you at this moment?,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.23828125,Extremely Happy,-1
F104,1613500965.744363,6.700625090999893,1,reading_hypotheses_page_1,"Good scientific practice is more, of course, than an exercise in deliberate observation and the use of adequate control groups to expose and assess bias.",[],[],-1,None,-1
F104,1613500972.6256871,6.881182768000144,1,reading_hypotheses_page_2,"Whether a program of research will 'pay off' by casting new light on some difficult problem or perplexing aspect of behavior will also depend on the quality of the scientist's research ideas, or hypotheses.",[],[],-1,None,-1
F104,1613500977.633129,5.007192580000265,1,reading_hypotheses_page_3,"The scientist views facts not as isolated or separate entities or events, but as meaningfully connected.",[],[],-1,None,-1
F104,1613500984.149315,6.515987818000212,1,reading_hypotheses_page_4,"The scientist's hypotheses are the starting points for approaching this sort of connectedness, by making a theoretical guess as to the significance or meaning of a given fact.
",[],[],-1,None,-1
F104,1613500989.307418,5.157967627999824,1,reading_hypotheses_page_5,"Any research project begins with selecting and narrowing the question originally asked, to make it manageable for study within the available resources.",[],[],-1,None,-1
F104,1613500991.148206,1.8406634399998438,1,reading_hypotheses_page_6,Extensive preparation is crucial.,[],[],-1,None,-1
F104,1613500994.4352791,3.2869514130015887,1,reading_hypotheses_page_7,"The literature should be carefully reviewed, and the task should be thought about at length.",[],[],-1,None,-1
F104,1613500998.068212,3.632788068998707,1,reading_hypotheses_page_8,One must select the most fundamental elements that will constitute the crux of the hypotheses.,[],[],-1,None,-1
F104,1613501003.572551,5.504205131001072,1,reading_hypotheses_page_9,"A classic principle of this intellectual ruminative and winnowing process is known as Occam's razor, named after the philosopher William of Occam.",[],[],-1,None,-1
F104,1613501010.484419,6.911728094999489,1,reading_hypotheses_page_10,"The principle of Occam's razor, also called the principle of parsimony, teaches that hypotheses introduced to explain relationships should be as parsimonious as possible.",[],[],-1,None,-1
F104,1613501013.060201,2.5755912469994655,1,reading_hypotheses_page_11,We 'cut away' what is superfluous.,[],[],-1,None,-1
F104,1613501018.193314,5.132982118000655,1,reading_hypotheses_page_12,"Occam's razor is a qualified demand for prudence so that we do not overcomplicate the search for truth.
",[],[],-1,None,-1
F104,1613501020.4605398,2.2671052549994783,1,reading_hypotheses_page_13,There are several kinds of hypotheses in behavioral science.,[],[],-1,None,-1
F104,1613501025.4452212,4.984550458999365,1,reading_hypotheses_page_14,"A working hypothesis is a proposition, or set of propositions, that serves to guide and organize an empirical investigation.",[],[],-1,None,-1
F104,1613501036.424395,10.979021895998812,1,reading_hypotheses_page_15,"For example, social psychologist Leon Festinger, in trying to account for the fact that some earthquake victims in India spread false rumors about future catastrophes, was inspired to develop two basic hypotheses that became the starting point for an elaborate program of experimental research.
",[],[],-1,None,-1
