subject_id,timestamp,response_time,block_num,question_type,question_text,response_numbers,response_strings,response_value,response_string,is_correct
F106,1613613318.9872231,4.480426167003316,0,affect,How sad vs. happy are you at this moment?,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.56640625,Extremely Happy,-1
F106,1613613340.034382,10.526447652002389,0,reading_validity_page_1,"Suppose that we have strong evidence that there is a relationship between two variables, and that it is a plausibly causal relationship.",[],[],-1,None,-1
F106,1613613360.2374341,20.202818087000196,0,reading_validity_page_2,"Given the plausibly causal relationship between X and Y, what are the cause and effect constructs (the intervening variables) involved in the relationship? This leads to a type of validity concerned with the psychological qualities contributing to the relationship between X and Y, known as construct validity.",[],[],-1,None,-1
F106,1613613378.6484292,18.410813607999444,0,reading_validity_page_3,"Some researchers argue that assessing construct validity ideally depends on two processes: (a) the testing for a 'convergence' across different measures or manipulations of the same behavior, and (b) the testing for a 'divergence' between measures or manipulations of related but conceptually distinct behaviors.
",[],[],-1,None,-1
F106,1613613387.3213592,8.672777268999198,0,reading_validity_page_4,Imagine developing a new test of sensitivity to nonverbal cues that assessed people's ability to read other people's emotions from still photographs.,[],[],-1,None,-1
F106,1613613392.582261,5.260768181000458,0,reading_validity_page_5,We would want it to correlate with other tests of sensitivity to nonverbal cues.,[],[],-1,None,-1
F106,1613613396.862599,4.280207945997972,0,reading_validity_page_6,"If it did correlate, we would have achieved convergent validity.",[],[],-1,None,-1
F106,1613613404.044363,7.181627602996741,0,reading_validity_page_7,"However, we would not want our new test to correlate very highly with a standard IQ test.",[],[],-1,None,-1
F106,1613613411.004399,6.959897549000743,0,reading_validity_page_8,"If it did correlate highly, it could be argued that what we had developed was simply a measure of intelligence.",[],[],-1,None,-1
F106,1613613414.669697,3.6651711220001744,0,reading_validity_page_9,That result would argue for poor discriminant validity.,[],[],-1,None,-1
F106,1613613423.34512,8.675279638002394,0,reading_validity_page_10,"We want our measures to correlate highly with the measures that our theory says they should correlate highly with, but much less with the measures our theory says they should not correlate so highly with.
",[],[],-1,None,-1
